Sales Person,Geography,Product,Date,Sales,Boxes
Husein Augar,USA  ,Raspberry Choco,10-03-2023,"$6,658 ",222
Curtice Advani,New Zealand ,85% Dark Bars,19-10-2023,"$5,202 ",454
Mallorie Waber,UK ,Raspberry Choco,02-02-2023,"$1,546 ",213
Rafaelita Blaksland,UK  ,Raspberry Choco,22-08-2023,"$1,496 ",211
Madelene Upcott,Australia,Organic Choco Syrup,22-01-2024,"$1,384 ",369
Kelci Walkden,UK ,Caramel Stuffed Bars,04-04-2023,$711 ,930
Oby Sorrel,India,Manuka Honey Choco,23-11-2023,"$3,328 ",142
Jehu Rudeforth,New Zealand,Milk Bars,30-11-2023,"$2,536 ",151
Ches Bonnell,New Zealand ,White Choc,08-08-2023,"$6,944 ",58
Camilla Castle,UK  ,Almond Choco,20-03-2023,"$13,777 ",106
Barr Faughny,Australia  ,Eclairs,28-06-2023,"$5,580 ",295
Husein Augar,USA   ,Drinking Coco,22-03-2023,"$4,925 ",527
Oby Sorrel,New Zealand  ,50% Dark Bites,16-03-2023,"$5,384 ",242
Karlen McCaffrey,UK  ,Choco Coated Almonds,01-01-2024,"$3,215 ",496
Barr Faughny,India,Manuka Honey Choco,29-03-2023,"$4,642 ",12
Oby Sorrel,New Zealand,Baker's Choco Chips,21-02-2024,"$5,789 ",56
Ches Bonnell,Canada ,Almond Choco,12-07-2023,"$1,148 ",30
Camilla Castle,USA   ,Choco Coated Almonds,02-02-2023,"$5,497 ",65
Wilone O'Kielt,Australia   ,Caramel Stuffed Bars,06-02-2024,$718 ,527
Ches Bonnell,New Zealand ,Manuka Honey Choco,17-05-2023,$158 ,419
Dotty Strutley,Canada ,50% Dark Bites,19-10-2023,"$10,539 ",837
Jan Morforth,Australia   ,Eclairs,07-07-2023,"$4,919 ",207
Andria Kimpton,UK ,Mint Chip Choco,04-05-2023,"$4,127 ",470
Oby Sorrel,Australia,Smooth Silky Salty,23-05-2023,"$1,728 ",277
Rafaelita Blaksland,Canada  ,Spicy Special Slims,28-03-2023,"$12,584 ",144
Barr Faughny,Canada   ,Mint Chip Choco,05-07-2023,$182 ,72
Kaine Padly,USA ,Mint Chip Choco,23-06-2023,"$1,589 ",166
Kaine Padly,USA ,Baker's Choco Chips,05-01-2024,"$8,051 ",125
Wilone O'Kielt,India   ,Mint Chip Choco,14-04-2023,$416 ,318
Kaine Padly,Australia  ,White Choc,25-05-2023,"$10,132 ",54
Brien Boise,New Zealand ,Raspberry Choco,15-09-2023,"$2,936 ",307
Husein Augar,UK ,Fruit & Nut Bars,24-05-2023,"$7,337 ",380
Jan Morforth,UK ,Manuka Honey Choco,28-07-2023,"$9,887 ",100
Oby Sorrel,New Zealand,Manuka Honey Choco,16-05-2023,"$1,136 ",94
Dotty Strutley,Canada   ,Choco Coated Almonds,13-11-2023,"$8,611 ",320
Van Tuxwell,India,Spicy Special Slims,20-10-2023,"$17,449 ",308
Jehu Rudeforth,USA,Peanut Butter Cubes,20-11-2023,"$5,904 ",433
Gigi Bohling,Australia  ,Mint Chip Choco,11-04-2023,$257 ,51
Roddy Speechley,USA,Orange Choco,09-08-2023,"$6,944 ",517
Rafaelita Blaksland,Australia,Spicy Special Slims,07-12-2023,$394 ,82
Barr Faughny,UK ,Peanut Butter Cubes,04-01-2024,"$7,130 ",163
Marney O'Breen,Canada   ,Smooth Silky Salty,14-11-2023,"$1,154 ",614
Andria Kimpton,USA  ,Caramel Stuffed Bars,17-11-2023,"$3,564 ",222
Karlen McCaffrey,USA  ,99% Dark & Pure,24-11-2023,"$9,176 ",5
Kelci Walkden,USA   ,Spicy Special Slims,21-02-2024,"$11,385 ",284
Kelci Walkden,India ,85% Dark Bars,13-04-2023,"$6,791 ",490
Gunar Cockshoot,Canada ,White Choc,01-05-2023,"$2,689 ",283
Karlen McCaffrey,UK   ,Spicy Special Slims,11-10-2023,"$7,101 ",352
Brien Boise,Australia ,Organic Choco Syrup,30-08-2023,"$8,084 ",319
Rafaelita Blaksland,India   ,Organic Choco Syrup,02-06-2023,"$6,406 ",64
Camilla Castle,UK ,Spicy Special Slims,06-07-2023,$878 ,423
Gunar Cockshoot,India,70% Dark Bites,13-11-2023,"$1,751 ",130
Kelci Walkden,USA   ,White Choc,08-09-2023,"$6,251 ",76
Kelci Walkden,Australia,Milk Bars,22-06-2023,"$8,093 ",175
Wilone O'Kielt,USA  ,Eclairs,06-12-2023,"$5,405 ",84
Oby Sorrel,New Zealand,Caramel Stuffed Bars,30-03-2023,$488 ,324
Ches Bonnell,Canada,99% Dark & Pure,08-12-2023,"$6,476 ",274
Camilla Castle,New Zealand  ,Drinking Coco,04-10-2023,"$7,632 ",291
Curtice Advani,New Zealand  ,Choco Coated Almonds,06-06-2023,$781 ,552
Beverie Moffet,India,Orange Choco,12-02-2024,"$1,505 ",41
Andria Kimpton,New Zealand  ,99% Dark & Pure,26-05-2023,"$3,022 ",274
Madelene Upcott,UK   ,99% Dark & Pure,13-10-2023,"$3,537 ",165
Van Tuxwell,India  ,99% Dark & Pure,28-09-2023,$590 ,148
Jehu Rudeforth,USA,Orange Choco,25-05-2023,"$1,719 ",374
Beverie Moffet,Canada,Organic Choco Syrup,24-05-2023,$425 ,145
Barr Faughny,USA  ,50% Dark Bites,21-02-2024,"$7,711 ",1420
Madelene Upcott,UK   ,Peanut Butter Cubes,14-12-2023,"$11,684 ",859
Kelci Walkden,UK   ,85% Dark Bars,03-07-2023,$709 ,105
Camilla Castle,India ,Caramel Stuffed Bars,10-03-2023,"$2,322 ",157
Dennison Crosswaite,UK,Almond Choco,21-09-2023,"$13,093 ",284
Gigi Bohling,Canada  ,50% Dark Bites,13-07-2023,"$6,458 ",178
Husein Augar,Australia,Smooth Silky Salty,26-07-2023,"$6,037 ",806
Kaine Padly,India,Almond Choco,27-10-2023,"$3,231 ",422
Roddy Speechley,India,Peanut Butter Cubes,22-12-2023,"$3,116 ",28
Barr Faughny,Canada,Spicy Special Slims,11-12-2023,"$5,938 ",90
Wilone O'Kielt,USA ,Drinking Coco,06-09-2023,"$5,533 ",47
Mallorie Waber,Canada  ,White Choc,20-06-2023,"$6,683 ",3
Beverie Moffet,Canada   ,Almond Choco,02-02-2023,"$7,538 ",232
Camilla Castle,UK,Manuka Honey Choco,19-04-2023,"$5,852 ",369
Barr Faughny,Australia ,White Choc,11-07-2023,"$9,785 ",356
Curtice Advani,USA  ,Orange Choco,15-05-2023,$128 ,125
Curtice Advani,Canada,Fruit & Nut Bars,24-07-2023,"$4,577 ",798
Gunar Cockshoot,USA ,Organic Choco Syrup,13-02-2024,"$4,259 ",389
Jan Morforth,India   ,White Choc,28-03-2023,"$2,023 ",174
Kaine Padly,UK  ,After Nines,25-08-2023,"$2,756 ",461
Gigi Bohling,Canada,After Nines,13-04-2023,"$10,073 ",187
Madelene Upcott,Canada ,Peanut Butter Cubes,17-03-2023,"$7,967 ",924
Jan Morforth,USA,Orange Choco,12-01-2024,"$5,112 ",49
Barr Faughny,USA   ,Milk Bars,04-07-2023,"$1,051 ",141
Marney O'Breen,UK,Milk Bars,17-08-2023,"$4,876 ",227
Karlen McCaffrey,Australia   ,Choco Coated Almonds,02-10-2023,"$2,331 ",132
Dennison Crosswaite,USA ,Eclairs,07-02-2024,"$1,251 ",339
Wilone O'Kielt,UK,Baker's Choco Chips,31-08-2023,"$1,728 ",149
Ches Bonnell,Canada   ,Peanut Butter Cubes,27-11-2023,"$5,256 ",112
Jan Morforth,Canada  ,Organic Choco Syrup,17-08-2023,"$1,375 ",32
Kelci Walkden,UK  ,Fruit & Nut Bars,24-05-2023,$68 ,57
Ches Bonnell,India  ,Caramel Stuffed Bars,24-07-2023,"$3,488 ",422
Rafaelita Blaksland,India   ,Caramel Stuffed Bars,08-05-2023,"$8,471 ",479
Rafaelita Blaksland,Australia ,Smooth Silky Salty,19-09-2023,"$6,865 ",131
Gunar Cockshoot,India  ,Choco Coated Almonds,17-01-2024,"$5,963 ",262
Ches Bonnell,Canada ,Organic Choco Syrup,03-05-2023,"$3,598 ",107
Gunar Cockshoot,UK ,Mint Chip Choco,12-12-2023,"$2,255 ",529
